epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3729,2.78239,6.47145,2.76323,0,0,0,0,nan,nan,nan,0.0031,0.0031,0.0721
2,33.841,3.05566,3.11735,3.0567,0,0,0,0,nan,nan,nan,0.00625842,0.00625842,0.0432584
3,41.3174,2.87614,3.07243,2.99393,0,0,0,0,nan,nan,nan,0.0093746,0.0093746,0.0143746
4,48.7324,2.74997,2.99541,2.92598,0,0,0,0,nan,nan,nan,0.009802,0.009802,0.009802
5,56.1633,2.70092,2.97096,2.85638,0,0,0,0,nan,nan,nan,0.009736,0.009736,0.009736
6,63.887,2.70113,2.91784,2.85554,0.02941,0.08469,0.00942,0.00206,nan,nan,nan,0.00967,0.00967,0.00967
7,71.5107,2.68772,2.8847,2.77683,0,0,0,0,nan,nan,nan,0.009604,0.009604,0.009604
8,79.1038,2.66825,2.86782,2.79075,0.00684,0.02606,0.00388,0.00113,nan,nan,nan,0.009538,0.009538,0.009538
9,86.8136,2.62096,2.80118,2.76236,0.15122,0.09772,0.04505,0.01236,2.99019,8.03462,3.30972,0.009472,0.009472,0.009472
10,94.5794,2.59638,2.79197,2.74885,0.0537,0.10462,0.013,0.00328,3.09057,4.09406,3.31557,0.009406,0.009406,0.009406
11,102.198,2.54511,2.76096,2.73468,0.02477,0.13355,0.0113,0.00291,3.0776,3.7344,3.62727,0.00934,0.00934,0.00934
12,109.816,2.50262,2.73661,2.70063,0.10408,0.14658,0.02743,0.00599,3.09917,3.71547,3.72838,0.009274,0.009274,0.009274
13,117.547,2.51323,2.65691,2.67538,0.03327,0.07166,0.01373,0.0038,2.95722,4.75731,3.23119,0.009208,0.009208,0.009208
14,125.173,2.44982,2.67833,2.60048,0.31278,0.25203,0.15378,0.04352,2.70026,2.79806,2.91759,0.009142,0.009142,0.009142
15,133.038,2.46596,2.63704,2.61753,0.04385,0.16612,0.01512,0.00308,3.18083,5.14946,3.44599,0.009076,0.009076,0.009076
16,140.674,2.4141,2.61496,2.58127,0.13506,0.22786,0.09224,0.02366,2.56773,2.85066,2.86503,0.00901,0.00901,0.00901
17,148.37,2.39355,2.59076,2.54474,0.12419,0.13681,0.05071,0.01209,2.77159,3.57345,3.10184,0.008944,0.008944,0.008944
18,156.068,2.34539,2.57725,2.50468,0.29442,0.1987,0.12897,0.04096,2.53018,3.47211,2.85909,0.008878,0.008878,0.008878
19,163.753,2.32964,2.59667,2.53099,0.27722,0.17264,0.12482,0.04119,2.46578,3.13059,2.88609,0.008812,0.008812,0.008812
