epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.5341,0.81635,3.31585,1.35612,0.73229,0.22679,0.25797,0.21129,0.76079,2.85995,1.68972,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667
2,30.7451,0.74565,2.52843,1.31468,0.44727,0.644,0.51462,0.42764,0.60727,4.7367,1.55938,0.00103981,0.000346604,0.00103981,0.000346604,0.00103981,0.000346604,0.00103981,0.000346604
3,37.6154,0.61807,1.538,1.27089,0.58594,0.63305,0.63864,0.55647,0.65188,1.83372,1.63163,0.00156863,0.000522878,0.00156863,0.000522878,0.00156863,0.000522878,0.00156863,0.000522878
4,44.6591,0.55602,1.24797,1.2044,0.66042,0.60227,0.67335,0.60193,0.61471,1.35956,1.51997,0.00208656,0.000695521,0.00208656,0.000695521,0.00208656,0.000695521,0.00208656,0.000695521
5,51.0613,0.57914,1.09067,1.20676,0.6112,0.70525,0.65858,0.58613,0.6604,1.20321,1.56125,0.0025936,0.000864533,0.0025936,0.000864533,0.0025936,0.000864533,0.0025936,0.000864533
6,56.9725,0.52551,0.91145,1.13508,0.61217,0.72385,0.7011,0.62707,0.61976,1.31744,1.46988,0.00308974,0.00102991,0.00308974,0.00102991,0.00308974,0.00102991,0.00308974,0.00102991
7,62.825,0.50616,0.90897,1.13333,0.6881,0.69717,0.7551,0.66042,0.63776,1.09199,1.4516,0.00357499,0.00119166,0.00357499,0.00119166,0.00357499,0.00119166,0.00357499,0.00119166
8,68.8834,0.50471,0.78174,1.10031,0.6035,0.74357,0.7509,0.63651,0.62413,1.12223,1.43258,0.00404935,0.00134978,0.00404935,0.00134978,0.00404935,0.00134978,0.00404935,0.00134978
9,74.5999,0.4525,0.73104,1.04639,0.69977,0.70117,0.70988,0.6035,0.6224,1.11652,1.38559,0.00451282,0.00150427,0.00451282,0.00150427,0.00451282,0.00150427,0.00451282,0.00150427
10,80.5187,0.57456,0.78499,1.15829,0.53792,0.71959,0.60934,0.52609,0.75138,1.64681,1.52491,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,86.2467,0.47517,0.66359,1.06652,0.58243,0.74416,0.69359,0.59815,0.73041,1.41306,1.53109,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,92.2361,0.50526,0.63877,1.10532,0.48993,0.73003,0.63149,0.54133,0.72079,2.1213,1.56789,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,97.9389,0.51059,0.64623,1.10679,0.57839,0.67875,0.62409,0.54676,0.77199,1.78467,1.67384,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,103.847,0.46305,0.57961,1.02586,0.60571,0.72445,0.64069,0.56426,0.78636,1.74342,1.69692,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,109.582,0.45897,0.60845,1.04052,0.6747,0.72389,0.62697,0.53542,0.74846,1.40523,1.62323,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
