id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
1,아라비아검,아라비아검식이섬유,20,20,g,2026-01-15 17:00,2026-01-15 17:00
2,베타카로틴,베타카로틴,0.42,7,mg,2026-01-15 17:00,2026-01-15 17:00
3,비오틴,비오틴,9,900,μg,2026-01-15 17:00,2026-01-15 17:00
4,공액리놀레산,공액리놀레산,1,4,g,2026-01-15 17:00,2026-01-15 17:00
5,가르시니아캄보지아 추출물,총(-)-히드록시시트르산,750,1500,mg,2026-01-15 17:00,2026-01-15 17:00
6,대두이소플라본,대두이소플라본 비배당체,24,27,mg,2026-01-15 17:00,2026-01-15 17:00
7,스쿠알렌,스쿠알렌,10,10,g,2026-01-15 17:00,2026-01-15 17:00
8,은행잎 추출물,플라보놀 배당체,28,36,mg,2026-01-15 17:00,2026-01-15 17:00
9,밀크씨슬 추출물,실리마린,130,130,mg,2026-01-15 17:00,2026-01-15 17:00
10,비타민 E,비타민 E,3,400,mg,2026-01-15 17:00,2026-01-15 17:00
11,비타민 K,비타민 K,21,1000,μg,2026-01-15 17:00,2026-01-15 17:00
12,비타민 B1,비타민 B1,0,100,mg,2026-01-15 17:00,2026-01-15 17:00
13,비타민 B2,비타민 B2,0,40,mg,2026-01-15 17:00,2026-01-15 17:00
14,나이아신,나이아신,5,670,mg,2026-01-15 17:00,2026-01-15 17:00
15,판토텐산,판토텐산,2,200,mg,2026-01-15 17:00,2026-01-15 17:00
16,비타민 B6,비타민 B6,0,67,mg,2026-01-15 17:00,2026-01-15 17:00
17,엽산,엽산,120,400,μg,2026-01-15 17:00,2026-01-15 17:00
18,비타민 B12,비타민 B12,1,2000,μg,2026-01-15 17:00,2026-01-15 17:00
19,비타민 C,비타민 C,30,1000,mg,2026-01-15 17:00,2026-01-15 17:00
20,칼슘,칼슘,210,800,mg,2026-01-15 17:00,2026-01-15 17:00
21,마그네슘,마그네슘,95,250,mg,2026-01-15 17:00,2026-01-15 17:00
22,철,철,4,15,mg,2026-01-15 17:00,2026-01-15 17:00
23,차전자피식이섬유,식이섬유,4,10,g,2026-01-15 17:00,2026-01-15 17:00
24,알로에 겔,총 다당체,110,420,mg,2026-01-15 17:00,2026-01-15 17:00
25,영지버섯 자실체 추출물,베타글루칸,24,42,mg,2026-01-15 17:00,2026-01-15 17:00
26,프락토올리고당,프락토올리고당,3,8,g,2026-01-15 17:00,2026-01-15 17:00
27,대두단백,조단백질,15,15,g,2026-01-15 17:00,2026-01-15 17:00
28,엽록소 함유 식물,총엽록소,8,150,mg,2026-01-15 17:00,2026-01-15 17:00
29,스피루리나,총엽록소,10,80,mg,2026-01-15 17:00,2026-01-15 17:00
30,클로렐라,총엽록소,8,150,mg,2026-01-15 17:00,2026-01-15 17:00
31,글루코만난,글루코만난식이섬유,3,17,g,2026-01-15 17:00,2026-01-15 17:00
32,마늘,알리인,1,1,g,2026-01-15 17:00,2026-01-15 17:00
33,홍경천 추출물,로사빈,200,600,mg,2026-01-15 17:00,2026-01-15 17:00
34,마리골드꽃추출물,루테인,10,20,mg,2026-01-15 17:00,2026-01-15 17:00
35,회화나무열매추출물,소포리코사이드,350,350,mg,2026-01-15 17:00,2026-01-15 17:00
36,핑거루트추출분말,판두라틴 A,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
37,옻나무 추출분말,푸스틴,1,1,g,2026-01-15 17:00,2026-01-15 17:00
38,보이차추출물,갈산,1,1,g,2026-01-15 17:00,2026-01-15 17:00
39,옥수수배아추출물,글루코실 세라마이드,40,60,mg,2026-01-15 17:00,2026-01-15 17:00
40,올리브잎주정추출물,올러유로핀,500,1000,mg,2026-01-15 17:00,2026-01-15 17:00
41,감태추출물,디엑콜,500,500,mg,2026-01-15 17:00,2026-01-15 17:00
42,L.plantarum IM76과 B.longum IM55 복합물,프로바이오틱스 수,10000000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
43,까마귀쪽나무 열매 주정추출물,하마비와락톤 B,200,200,mg,2026-01-15 17:00,2026-01-15 17:00
44,석류추출물,엘라그산,2,2,g,2026-01-15 17:00,2026-01-15 17:00
45,포도씨 효소분해 추출 분말,총 폴리페놀,150,300,mg,2026-01-15 17:00,2026-01-15 17:00
46,이눌린,이눌린 식이섬유,6,20,g,2026-01-15 17:00,2026-01-15 17:00
47,비타민 A,비타민 A,210,1000,μg,2026-01-15 17:00,2026-01-15 17:00
48,비타민 D,비타민 D,3,10,μg,2026-01-15 17:00,2026-01-15 17:00
49,프로바이오틱스,생균,100000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
50,구아바잎 추출물,총 폴리페놀,120,120,mg,2026-01-15 17:00,2026-01-15 17:00
51,홍국,총 모나콜린 K,4,8,mg,2026-01-15 17:00,2026-01-15 17:00
52,달맞이꽃종자 추출물,PGG(펜타-O-갈로일 베타-D-글루코스),4,8,mg,2026-01-15 17:00,2026-01-15 17:00
53,포스파티딜세린,포스파티딜세린,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
54,테아닌,L-테아닌,200,250,mg,2026-01-15 17:00,2026-01-15 17:00
55,엠에스엠,엠에스엠,2,2,g,2026-01-15 17:00,2026-01-15 17:00
56,구아검,구아검,5,27,g,2026-01-15 17:00,2026-01-15 17:00
